Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
OTOS		1	1	190	0.5%	No
COPS9		2	2	607	0.3%	No
ZNF519		2	2	572	0.3%	No
EGLN3		1	1	216	0.5%	No
EGLN2		5	5	381	1.3%	No
TMEM179		2	2	216	0.9%	No
ERVV-2		3	3	338	0.9%	No
RTL1		24	23	1511	1.5%	No
COMMD1		1	1	122	0.8%	No
OR6B3		2	2	746	0.3%	No
TMEM201		3	3	746	0.4%	No
CXORF38		5	5	438	1.1%	No
ZBTB9		1	1	122	0.8%	No
MDGA2		15	14	1576	0.9%	No
CLPSL2		4	4	731	0.5%	No
BNIP5		5	5	729	0.7%	No
SLC24A4		4	4	577	0.7%	No
C18ORF54		1	1	507	0.2%	No
TC2N		5	5	1093	0.5%	No
PROM2		6	6	766	0.8%	No
FYB2		4	4	628	0.6%	No
FAM217A		3	3	962	0.3%	No
SAMD11		2	2	361	0.6%	No
CDYL2		1	1	65	1.5%	No
ZBTB12		1	1	122	0.8%	No
GMEB1		9	9	1238	0.7%	No
FUT9		4	4	252	1.6%	No
MB21D2		3	3	723	0.4%	No
GARIN4		10	9	1619	0.6%	No
CCT6B		9	9	945	1.0%	Yes
RRH		1	1	180	0.6%	No
CNPY3		6	6	926	0.6%	No
CCT8		8	8	1332	0.6%	No
CORIN		15	12	1431	0.8%	No
GLYATL3		5	4	412	1.0%	No
DEGS2		5	5	403	1.2%	No
SLC25A29		2	2	216	0.9%	No
CREB3L4		6	6	800	0.8%	No
C1ORF127		9	8	698	1.1%	No
C6ORF136		3	3	845	0.4%	No
OTUD1		1	1	507	0.2%	No
PROCA1		2	2	187	1.1%	No
TMEM199		2	2	455	0.4%	No
B3GNT2		4	4	1116	0.4%	No
PPP4R2		5	5	946	0.5%	Yes
DCTN6		3	3	609	0.5%	No
TMEM68		6	6	831	0.7%	No
RRAGA		1	1	216	0.5%	No
TNFSF13B		1	1	507	0.2%	No
GNA13		4	4	471	0.8%	Yes
CSPG5		9	5	880	0.6%	No
AVIL		12	12	1554	0.8%	No
ADIG		2	2	429	0.5%	No
ATOH7		1	1	122	0.8%	No
DHRS13		3	3	746	0.4%	No
EBP		5	4	1036	0.4%	No
GNB5		4	4	609	0.7%	No
DLL3		4	4	757	0.5%	No
ASB10		11	10	1364	0.7%	No
KRTAP24-1		3	3	607	0.5%	No
CLDN16		8	6	593	1.0%	No
PNMA2		9	8	1268	0.6%	No
EPSTI1		3	3	577	0.5%	No
FERD3L		4	4	926	0.4%	No
TP53INP1		1	1	190	0.5%	No
RTP3		4	4	731	0.5%	No
NUDT12		5	5	518	1.0%	No
RASSF5		4	4	875	0.5%	No
BCL2L12		3	3	868	0.3%	No
SOX7		2	2	302	0.7%	No
AKR1E2		1	1	30	3.3%	No
GNG8		1	1	122	0.8%	No
FOXQ1		1	1	216	0.5%	No
EDNRA		8	8	1258	0.6%	No
H2AZ2		1	1	122	0.8%	No
EDN3		6	6	902	0.7%	No
OPN4		14	13	1454	0.9%	No
TMEM30B		3	2	629	0.3%	No
EDN2		1	1	507	0.2%	No
EDN1		3	3	687	0.4%	No
S1PR3		10	8	868	0.9%	No
FCSK		6	6	1152	0.5%	No
MLKL		5	5	867	0.6%	No
LPAR1		7	7	1111	0.6%	No
S1PR1		5	5	438	1.1%	No
LDHD		1	1	216	0.5%	No
EDNRB		5	5	823	0.6%	No
EEF1A2		5	5	947	0.5%	No
EEF1A1		15	15	1454	1.0%	No
PHC2		11	10	1092	0.9%	No
PHC1		3	3	868	0.3%	No
SYT6		13	13	1454	0.9%	No
AMER2		3	3	577	0.5%	No
SAMD9L		14	14	1484	0.9%	No
EXOC3L1		6	6	338	1.8%	No
CES4A		2	2	57	3.5%	No
TERB1		5	5	845	0.6%	No
STEAP1B		3	3	723	0.4%	No
EIF2D		6	5	609	0.8%	No
EEF2		13	13	1394	0.9%	No
EEF1G		3	3	370	0.8%	No
EEF1D		5	5	1181	0.4%	No
C2ORF15		2	2	222	0.9%	No
EEF1B2		2	2	572	0.3%	No
FITM1		4	4	555	0.7%	No
ATAD3C		1	1	122	0.8%	No
PPP1R14A		1	1	507	0.2%	No
EFNA1		6	6	947	0.6%	No
EFNB3		4	4	361	1.1%	No
EFNB2		2	2	697	0.3%	No
EFNB1		1	1	507	0.2%	No
EFNA5		3	3	586	0.5%	No
EFNA4		3	3	367	0.8%	No
EFNA3		5	5	1216	0.4%	No
MEGF8		22	20	1581	1.3%	No
MEGF6		17	17	1511	1.1%	No
CELSR2		21	14	1315	1.1%	No
CELSR3		26	23	1554	1.5%	No
EGF		13	13	1511	0.9%	No
NOMO2		2	2	507	0.4%	No
EGR2		9	9	1238	0.7%	No
EGR1		3	3	723	0.4%	Yes
EGFR		41	40	2294	1.7%	Yes
MEGF9		6	6	947	0.6%	No
EIF2S1		3	3	729	0.4%	No
EIF1AX		7	7	1804	0.4%	Yes
EHHADH		4	4	564	0.7%	No
EGR4		3	3	338	0.9%	No
EGR3		5	5	962	0.5%	No
HEPACAM		4	4	1152	0.3%	No
EPHA2		9	8	1429	0.6%	No
EIF2S3		6	6	1135	0.5%	No
EIF2B1		3	3	877	0.3%	Yes
C1QTNF6		1	1	507	0.2%	No
C1QTNF7		4	4	629	0.6%	No
FBXO32		3	3	877	0.3%	No
TMEM123		3	2	312	0.6%	No
ARFGEF3		22	18	1004	1.8%	No
ZNF496		13	11	1374	0.8%	No
C1QTNF4		2	2	216	0.9%	No
C1QTNF5		5	5	731	0.7%	No
EIF4B		6	5	1013	0.5%	No
PHF5A		1	1	122	0.8%	No
EIF4A2		24	23	1997	1.2%	Yes
EIF4A1		6	6	808	0.7%	No
ERGIC1		5	4	956	0.4%	No
PPP4R3B		11	10	1489	0.7%	No
IFITM10		8	8	614	1.3%	No
NHSL1		12	12	1554	0.8%	No
HPDL		3	3	697	0.4%	No
TRIM64B		4	4	809	0.5%	No
EIF4EBP2		2	2	312	0.6%	No
EIF4E		2	2	312	0.6%	Yes
CELA1		7	7	1116	0.6%	No
SNX14		6	6	831	0.7%	No
ZNF630		13	11	947	1.2%	No
NUDT14		2	2	455	0.4%	No
LRTM2		1	1	507	0.2%	No
ATP5MK		1	1	65	1.5%	No
EIF5A		1	1	122	0.8%	No
EIF5		8	7	1338	0.5%	No
ADTRP		3	2	687	0.3%	No
EIF4G2		5	5	1078	0.5%	No
EIF4G1		16	16	1511	1.1%	No
BRICD5		2	2	697	0.3%	No
HAP1		8	8	1454	0.6%	No
F2RL3		2	2	122	1.6%	No
ARSI		5	5	731	0.7%	No
MROH6		7	7	1114	0.6%	No
GOLGA8K		1	1	507	0.2%	No
LRCH3		6	6	1058	0.6%	No
PTPN5		8	8	991	0.8%	No
ELF2		6	6	1084	0.6%	No
ELF1		11	8	1099	0.7%	No
TMEM25		2	2	152	1.3%	No
NPW		2	2	507	0.4%	No
ODAD4		1	1	216	0.5%	No
CBR4		1	1	216	0.5%	No
ELAVL4		1	1	122	0.8%	No
HAVCR2		3	3	586	0.5%	No
ELAVL3		5	5	577	0.9%	No
FER1L6		21	20	1676	1.2%	No
ELAVL1		4	4	962	0.4%	No
ELAVL2		1	1	100	1.0%	No
CCDC142		6	6	1035	0.6%	No
SERPINB1		1	1	507	0.2%	No
RIOX2		6	6	919	0.7%	No
ELANE		3	3	845	0.4%	No
FAM170A		3	2	339	0.6%	No
ELF3		11	11	1452	0.8%	Yes
TAF1B		11	10	1329	0.8%	No
TAF1A		7	7	947	0.7%	No
TAF1C		3	3	913	0.3%	No
MPZL1		4	4	841	0.5%	No
SLC25A14		5	5	1084	0.5%	No
STING1		4	4	753	0.5%	No
ACSM4		4	4	875	0.5%	No
ZNF503		3	3	456	0.7%	No
TRIM52		4	3	396	0.8%	No
RNF8		3	3	122	2.5%	No
HIP1R		11	10	1584	0.6%	No
CH25H		2	2	370	0.5%	No
BRSK2		5	5	528	0.9%	No
CYP2U1		2	2	281	0.7%	No
NAT8		3	3	788	0.4%	No
RHBDL1		1	1	30	3.3%	No
ATP11AUN		3	3	629	0.5%	No
SOCS3		1	1	122	0.8%	Yes
HACD4		2	2	607	0.3%	No
CLIC3		3	3	179	1.7%	No
SLC7A3		12	12	1554	0.8%	No
SPPL2A		1	1	507	0.2%	No
ZDHHC12		3	3	645	0.5%	No
C1ORF198		8	7	1303	0.5%	No
FKBP1C		2	2	302	0.7%	No
RPUSD4		2	2	216	0.9%	No
GPR101		6	6	629	1.0%	No
AIFM2		5	5	1116	0.4%	No
MFRP		6	6	745	0.8%	No
TAAR8		2	2	302	0.7%	No
SEMA5A		25	22	1519	1.4%	No
CCRL2		2	2	302	0.7%	No
TAAR5		4	4	629	0.6%	No
UBA3		1	1	507	0.2%	No
TM4SF5		2	2	57	3.5%	No
MRFAP1L1		1	1	507	0.2%	No
CHST9		8	8	1078	0.7%	No
PKD2L1		6	6	943	0.6%	No
BAZ1B		14	13	1374	0.9%	No
ZBTB45		4	4	412	1.0%	No
RILP		1	1	122	0.8%	No
RTBDN		1	1	122	0.8%	No
FAM228A		4	4	629	0.6%	No
MFSD2A		2	2	280	0.7%	No
COG3		4	4	913	0.4%	No
AIF1L		2	2	419	0.5%	No
ZNF514		2	2	338	0.6%	No
ADGRG7		8	8	1374	0.6%	No
PARP10		20	9	1554	0.6%	No
DNAL1		4	4	1084	0.4%	No
RSPO3		6	5	628	0.8%	Yes
ZC3H10		7	7	1374	0.5%	No
FAM110A		1	1	507	0.2%	No
NUF2		13	13	1612	0.8%	Yes
AGBL4		10	10	837	1.2%	No
IFFO2		4	4	731	0.5%	No
SH2D2A		6	6	1238	0.5%	No
ARTN		2	2	57	3.5%	No
SMIM19		1	1	507	0.2%	No
RPL14		1	1	216	0.5%	No
DOK2		4	4	825	0.5%	No
GPRASP2		17	17	1238	1.4%	No
AIP		6	4	780	0.5%	No
UBE2M		3	3	645	0.5%	No
SAMD12		7	7	947	0.7%	No
SPAG9		11	11	1403	0.8%	No
BTAF1		14	13	1454	0.9%	No
SLC4A10		5	5	876	0.6%	No
SLC6A19		5	4	377	1.1%	No
SYT10		9	9	1114	0.8%	No
SLC13A2		11	11	1511	0.7%	No
SLC7A7		3	3	629	0.5%	No
SLC7A6		7	6	890	0.7%	No
OVCH1		7	7	1010	0.7%	No
PSTPIP2		1	1	30	3.3%	No
PSTPIP1		2	2	723	0.3%	No
NFS1		2	2	746	0.3%	No
PRC1		8	8	882	0.9%	No
GPRC5A		2	2	607	0.3%	No
MAP7		5	5	943	0.5%	No
TMTC4		10	10	1238	0.8%	No
ATAD1		4	4	708	0.6%	No
MIGA2		3	3	694	0.4%	No
PLXDC2		3	3	586	0.5%	No
C16ORF54		4	4	788	0.5%	No
TBRG1		1	1	507	0.2%	No
POMGNT2		3	3	635	0.5%	No
ZSCAN10		9	9	1264	0.7%	No
LINGO1		6	5	809	0.6%	No
FBH1		15	14	1554	0.9%	No
ADO		1	1	216	0.5%	No
SMCO2		1	1	216	0.5%	No
CLDN12		6	5	1116	0.4%	No
ANGPTL1		10	10	1619	0.6%	No
PAPSS1		9	7	1364	0.5%	No
CIBAR2		2	2	281	0.7%	No
HELT		2	2	629	0.3%	No
SYT7		2	2	419	0.5%	No
PIAS2		14	11	1332	0.8%	No
MAP3K6		4	4	913	0.4%	Yes
ARPP21		8	8	1019	0.8%	No
CMTM1		1	1	65	1.5%	No
ANKRD34B		9	9	1462	0.6%	No
SRSF10		1	1	100	1.0%	No
ZMYND11		7	7	1035	0.7%	No
ZBTB6		7	5	780	0.6%	No
POP4		2	2	187	1.1%	No
LDB2		10	9	1058	0.9%	No
CLDN8		2	2	339	0.6%	No
ASH2L		9	9	1252	0.7%	No
CLDN10		3	3	216	1.4%	No
CLDN1		2	2	370	0.5%	No
DIRAS3		1	1	100	1.0%	No
CLDN6		5	5	1093	0.5%	No
CLDN2		3	3	609	0.5%	No
IQGAP2		12	12	1454	0.8%	No
GOLGA6L4		1	1	190	0.5%	No
ZNF266		11	11	1554	0.7%	No
ZNF234		5	5	1116	0.4%	No
NEK6		5	5	1238	0.4%	No
ZNF274		3	3	845	0.4%	No
WDR4		3	3	455	0.7%	No
NCKAP1		14	14	1431	1.0%	No
SLC17A3		5	5	999	0.5%	No
SLC15A5		7	7	1264	0.6%	No
RPEL1		1	1	507	0.2%	No
HELQ		5	5	962	0.5%	No
RAB43		1	1	507	0.2%	No
JMJD8		7	7	528	1.3%	No
LIN28B		1	1	122	0.8%	No
PKMYT1		1	1	216	0.5%	No
LRRC34		4	4	823	0.5%	No
GIPC1		5	5	1084	0.5%	No
CYP20A1		3	3	746	0.4%	No
TRAF3IP2		2	2	338	0.6%	No
SPC25		4	4	273	1.5%	No
KLHDC9		4	4	723	0.6%	No
DNAI3		8	5	1010	0.5%	No
GRAP		1	1	122	0.8%	No
CHL1		14	10	1215	0.8%	No
ABHD6		3	3	629	0.5%	No
NMRAL1		1	1	100	1.0%	No
LRTM1		6	6	1048	0.6%	No
SEC14L6		7	7	1078	0.6%	No
CAPN9		13	10	1047	1.0%	No
MIF4GD		1	1	507	0.2%	No
UNC119		1	1	507	0.2%	No
TBX19		8	8	1454	0.6%	No
SART1		7	7	947	0.7%	No
DNAJA3		6	6	1216	0.5%	No
USP6		5	5	629	0.8%	Yes
USP2		6	6	977	0.6%	No
TBX18		12	11	999	1.1%	No
SLAMF6		5	5	786	0.6%	No
HBS1L		8	8	1047	0.8%	No
TOB2		2	2	122	1.6%	No
RHBDD2		4	3	629	0.5%	No
PLK2		32	29	2339	1.2%	Yes
CPNE9		5	5	845	0.6%	No
C3ORF14		2	2	629	0.3%	No
AHCYL1		1	1	216	0.5%	No
PIGQ		5	5	746	0.7%	No
SCYL1		4	4	962	0.4%	No
GFRAL		4	3	179	1.7%	No
AS3MT		5	4	1116	0.4%	No
PLAC1		4	4	609	0.7%	No
NES		32	24	1511	1.6%	No
NUP50		1	1	216	0.5%	No
WDR18		1	1	216	0.5%	No
KDM5B		22	21	1554	1.4%	No
SLC24A3		15	11	1519	0.7%	No
OR4K2		4	3	809	0.4%	No
OR4K13		8	8	1511	0.5%	No
PRSS53		6	6	1332	0.5%	No
OR4K17		3	3	577	0.5%	No
OR4N5		3	3	551	0.5%	No
TRPT1		1	1	122	0.8%	No
FERMT3		5	5	850	0.6%	No
STAG3		12	12	1611	0.7%	No
OR11G2		1	1	122	0.8%	No
PLK4		5	5	1035	0.5%	No
OR6C4		1	1	122	0.8%	No
SIX2		2	2	723	0.3%	No
OR6C2		5	5	1025	0.5%	No
STAG2		35	35	2107	1.7%	Yes
GOLGA7B		2	2	216	0.9%	No
RFPL3		2	2	507	0.4%	No
RFPL3S		1	1	122	0.8%	No
RFPL2		7	7	731	1.0%	No
IYD		5	5	786	0.6%	No
LRRC10		3	3	697	0.4%	No
YME1L1		23	23	1546	1.5%	No
TCFL5		1	1	190	0.5%	No
OR13C4		9	8	1092	0.7%	No
OR13F1		6	6	1238	0.5%	No
OR13C8		8	7	1238	0.6%	No
OR13C3		3	3	551	0.5%	No
POLN		12	12	1511	0.8%	No
OR11H4		2	2	746	0.3%	No
PAQR4		6	6	666	0.9%	No
RNASE9		1	1	507	0.2%	No
C1QTNF1		2	2	338	0.6%	No
C1QTNF2		8	8	1389	0.6%	No
ZG16B		3	3	541	0.6%	No
OR5AU1		7	7	1274	0.5%	No
C1QTNF3		1	1	65	1.5%	No
PCDHGB1		9	9	1454	0.6%	No
PHTF1		7	6	438	1.4%	No
PCDHGA11		13	13	1484	0.9%	No
JAM3		4	4	645	0.6%	No
PTTG2		1	1	507	0.2%	No
PCDHGA10		9	9	913	1.0%	No
MASP2		2	2	629	0.3%	No
ANKRD33		4	4	541	0.7%	No
MAP3K2		6	5	767	0.7%	No
PCDHGA9		10	10	1301	0.8%	No
KIF1C		10	10	1272	0.8%	No
PCDHGB6		21	20	1511	1.3%	No
PCDHGB3		11	10	1215	0.8%	No
PCDHGB2		5	5	913	0.5%	No
PCDHGA7		3	3	845	0.4%	No
RBBP9		1	1	507	0.2%	No
PCDHGA6		10	10	1389	0.7%	No
RAI1		17	14	1484	0.9%	No
RAI2		16	14	1454	1.0%	No
OSBPL10		9	9	1454	0.6%	No
OSBPL11		4	4	731	0.5%	No
H2AC21		3	3	273	1.1%	No
PCDHGA5		7	7	1084	0.6%	No
INHBE		2	2	687	0.3%	No
ENTREP3		6	6	731	0.8%	No
NDRG3		4	4	723	0.6%	No
POTEB		1	1	180	0.6%	No
SLC25A18		4	4	762	0.5%	No
NDRG2		3	3	788	0.4%	No
BIRC6		78	69	1905	3.6%	No
POLD3		6	4	438	0.9%	No
MAB21L3		4	4	403	1.0%	No
USP39		2	2	396	0.5%	No
PLEKHG5		7	7	1035	0.7%	No
PCDHGA4		7	7	686	1.0%	No
TBR1		1	1	216	0.5%	No
CERS1		4	4	609	0.7%	No
PCDHGA3		12	12	1264	0.9%	No
PCDHGA2		19	19	1454	1.3%	No
RIOK1		4	4	179	2.2%	No
NRG3		7	6	1018	0.6%	No
AP4B1		6	6	1454	0.4%	No
PCDHGA1		13	13	1238	1.1%	No
FAM86JP		1	1	190	0.5%	No
DDX51		5	5	1114	0.4%	No
YPEL3		1	1	216	0.5%	No
TENM2		26	26	1554	1.7%	No
GALNT16		6	5	1025	0.5%	No
PCDHB15		12	10	438	2.3%	No
OSBPL1A		11	11	1200	0.9%	No
TNFAIP8L3		2	2	216	0.9%	No
CRISPLD2		6	6	855	0.7%	No
C8ORF82		1	1	122	0.8%	No
ESPN		14	13	1619	0.8%	No
OSBPL5		7	7	1268	0.6%	No
DENND6B		2	2	723	0.3%	No
PCDHB10		11	11	1554	0.7%	No
AXDND1		14	12	1584	0.8%	No
SLC12A7		7	7	1084	0.6%	No
TLCD3B		3	3	913	0.3%	No
TMCC3		9	9	1619	0.6%	No
OR4N2		7	7	1209	0.6%	No
NFAT5		9	9	1432	0.6%	No
GATAD2B		10	10	1092	0.9%	No
PCDHB8		6	6	845	0.7%	No
OGA		7	7	947	0.7%	No
PCDHB7		25	25	1403	1.8%	No
PCDHB14		15	15	1454	1.0%	No
DSCAML1		21	18	1359	1.3%	No
OSBPL6		5	5	641	0.8%	No
CCDC9B		13	12	1238	1.0%	No
NUDC		5	5	731	0.7%	No
PCDHB13		10	10	1372	0.7%	No
SLC25A53		9	9	1274	0.7%	No
OSBPL7		3	3	697	0.4%	No
PCDHB12		18	16	1511	1.1%	No
REXO1		11	11	1554	0.7%	No
OSBPL8		11	11	1158	0.9%	No
PCDHB11		14	13	1554	0.8%	No
KIAA1143		4	4	1116	0.4%	No
OSBPL9		6	4	754	0.5%	No
PTGES3		1	1	216	0.5%	No
POLQ		20	20	1391	1.4%	Yes
UGT2B11		5	5	359	1.4%	No
KLF14		3	3	723	0.4%	No
SPPL2C		5	5	731	0.7%	No
GPR139		3	3	697	0.4%	No
POTED		1	1	507	0.2%	No
DHRS4L2		3	3	823	0.4%	No
BTLA		4	4	338	1.2%	Yes
CCDC80		11	11	1274	0.9%	No
GASK1A		1	1	507	0.2%	No
SSMEM1		3	3	551	0.5%	No
ZNF555		4	4	945	0.4%	No
CCDC85C		2	2	216	0.9%	No
C14ORF39		7	7	1332	0.5%	No
ARHGEF33		6	6	1304	0.5%	No
INSYN1		1	1	239	0.4%	No
NYAP1		5	5	729	0.7%	No
MOSMO		1	1	122	0.8%	No
ZNF569		6	6	823	0.7%	No
ZNF570		3	3	845	0.4%	No
ZC3H18		2	2	629	0.3%	No
SMYD1		10	10	1333	0.8%	No
C7ORF57		4	4	1048	0.4%	No
ADM5		2	2	723	0.3%	No
ZNF726		5	5	868	0.6%	No
CNST		8	8	1215	0.7%	No
NUPR2		1	1	216	0.5%	No
H2AC1		2	2	629	0.3%	No
AGAP5		4	4	999	0.4%	No
PRR25		1	1	122	0.8%	No
CASC3		1	1	507	0.2%	No
NID2		15	13	1190	1.1%	No
COG2		6	6	950	0.6%	No
TFEC		6	6	1432	0.4%	No
LAMB4		26	26	1619	1.6%	No
VN1R4		5	5	731	0.7%	No
OR1N2		2	2	95	2.1%	No
OR1N1		3	3	659	0.5%	No
OR1L8		3	3	936	0.3%	No
RSPH10B		5	5	991	0.5%	No
USP12		9	9	1338	0.7%	No
COL26A1		4	4	723	0.6%	No
SLC29A4		6	6	1303	0.5%	No
ZNF681		7	7	1116	0.6%	No
KLHL10		3	2	122	1.6%	No
ZNF714		4	4	246	1.6%	No
SDE2		2	2	697	0.3%	No
PLAC9		2	2	338	0.6%	No
ZNF814		15	13	1484	0.9%	No
RBM24		4	4	877	0.5%	No
C19ORF25		1	1	507	0.2%	No
RPP40		3	3	672	0.4%	No
VAMP5		3	3	157	1.9%	No
PRSS37		7	7	1274	0.5%	No
ZNF460		7	7	1025	0.7%	No
ZNF273		2	2	290	0.7%	No
ZNF268		13	12	1554	0.8%	No
OR5I1		11	11	1116	1.0%	No
MTHFD2		2	2	429	0.5%	No
SLC16A11		3	3	845	0.4%	No
FBXO39		3	3	629	0.5%	No
TRPV3		2	2	455	0.4%	No
VN1R2		6	6	1010	0.6%	No
OAF		1	1	239	0.4%	No
KDM1B		7	7	796	0.9%	No
ATP8B3		15	15	1454	1.0%	No
DPPA2		6	6	788	0.8%	No
PKHD1L1		53	44	1619	2.7%	No
PCDHGC5		11	8	1047	0.8%	No
SYNE3		16	15	1360	1.1%	No
PCDHGC4		4	4	962	0.4%	No
PCDHGB7		14	14	1454	1.0%	No
NT5C1B		9	8	819	1.0%	No
RNF182		6	6	1116	0.5%	No
TIGD3		11	4	731	0.5%	No
NUDT7		3	3	811	0.4%	No
GOLGA8J		3	3	868	0.3%	No
GOLGA8T		2	2	746	0.3%	No
PHACTR1		6	6	845	0.7%	No
OR5AC2		4	4	731	0.5%	No
CCDC110		8	8	1362	0.6%	No
NIBAN3		9	9	937	1.0%	No
CEP41		7	7	947	0.7%	No
RHBDL3		4	4	529	0.8%	No
UBR1		24	19	1511	1.3%	No
PATL2		4	4	845	0.5%	No
GOLGA8S		2	2	629	0.3%	No
COQ10A		5	5	1116	0.4%	No
CLEC14A		7	7	910	0.8%	No
FAM181B		1	1	122	0.8%	No
ZNF626		9	9	876	1.0%	No
OR11H1		9	9	609	1.5%	No
ZDHHC11B		2	2	629	0.3%	No
ANKS4B		5	4	903	0.4%	No
PGBD3		3	3	396	0.8%	No
LRRC71		3	3	127	2.4%	No
PHOSPHO1		2	2	723	0.3%	No
CALHM1		1	1	190	0.5%	No
TMEM92		1	1	122	0.8%	No
U2AF1L4		2	2	338	0.6%	No
DAOA		2	2	629	0.3%	No
OR4F17		5	5	926	0.5%	No
THAP8		1	1	122	0.8%	No
EML3		8	8	872	0.9%	No
SASS6		7	7	1280	0.5%	No
CCDC89		1	1	100	1.0%	No
KANK4		15	13	1454	0.9%	No
MPV17L		3	3	746	0.4%	No
UQCC4		4	3	426	0.7%	No
GK5		5	5	1065	0.5%	No
PGBD2		4	4	709	0.6%	No
DMKN		7	6	966	0.6%	No
IFNL3		4	4	723	0.6%	No
IFNL1		1	1	216	0.5%	No
LMNTD2		4	4	629	0.6%	No
IFNL2		1	1	507	0.2%	No
GGN		4	4	577	0.7%	No
TMEM229B		2	2	312	0.6%	No
GARIN2		3	2	455	0.4%	No
ZNF98		7	7	1184	0.6%	No
ZNF843		2	2	629	0.3%	No
TEX30		1	1	216	0.5%	No
CADM4		4	4	1058	0.4%	No
USP10		1	1	239	0.4%	No
USP8		13	11	1294	0.9%	Yes
MTMR6		6	6	1374	0.4%	No
RGN		4	4	438	0.9%	No
UBASH3B		2	2	302	0.7%	No
SERPINA11		4	4	809	0.5%	No
SYTL1		2	2	455	0.4%	No
IGSF21		2	2	629	0.3%	No
TTYH1		8	8	1139	0.7%	No
ZMIZ2		8	8	1554	0.5%	No
LSM10		1	1	216	0.5%	No
C19ORF12		1	1	507	0.2%	No
ZNF304		8	7	1025	0.7%	No
AJUBA		3	3	723	0.4%	Yes
FBXL20		3	3	586	0.5%	No
CBARP		3	3	361	0.8%	No
CCDC183		16	10	1268	0.8%	No
LATS1		30	29	2180	1.3%	Yes
ATP6V0D1		1	1	216	0.5%	No
NMI		2	2	406	0.5%	No
MTA1		4	4	395	1.0%	No
SEC22C		2	2	370	0.5%	No
INA		2	2	697	0.3%	No
BLID		2	2	222	0.9%	No
FAM166A		5	5	629	0.8%	No
LCNL1		2	2	338	0.6%	No
TIGD5		5	5	845	0.6%	No
MTMR4		18	11	1338	0.8%	No
SERAC1		1	1	122	0.8%	No
NUDCD1		8	7	1274	0.5%	No
RELT		1	1	216	0.5%	No
TNS4		11	10	1121	0.9%	No
PRPF38A		3	3	962	0.3%	No
PLEKHD1		7	7	876	0.8%	No
CGNL1		3	3	629	0.5%	No
MTMR7		3	3	877	0.3%	No
PIK3CD-AS1		3	3	534	0.6%	No
CCER2		1	1	216	0.5%	No
PDLIM1		1	1	216	0.5%	No
CNOT9		4	4	825	0.5%	No
SLC16A4		4	4	373	1.1%	No
SLC16A3		7	7	395	1.8%	No
MS4A4E		1	1	122	0.8%	No
PRPF4		5	5	780	0.6%	No
PRPF3		10	10	1211	0.8%	No
SMC3		12	12	1519	0.8%	Yes
WDR38		10	10	925	1.1%	No
BARX1		1	1	216	0.5%	No
SLC16A6		2	2	396	0.5%	No
SLC16A5		3	3	577	0.5%	No
GJD2		6	6	788	0.8%	No
DYNLRB2		2	2	370	0.5%	No
PPP1R16A		4	4	577	0.7%	No
FAM167A-AS1		2	2	419	0.5%	No
TEKT1		3	3	402	0.7%	No
TSEN54		3	3	868	0.3%	No
DYNLRB1		1	1	122	0.8%	No
SNX30		1	1	122	0.8%	No
CEP19		5	5	1216	0.4%	No
HID1		4	4	577	0.7%	No
PDGFC		1	1	216	0.5%	No
C9ORF152		3	3	402	0.7%	No
FADS6		4	4	767	0.5%	No
ARHGAP19		3	3	247	1.2%	No
FAM83A		3	3	845	0.4%	No
KRT75		1	1	216	0.5%	No
SLC35G5		3	3	609	0.5%	No
CCDC168		26	24	1454	1.7%	No
RABEP1		9	8	1315	0.6%	Yes
RRP9		4	4	217	1.8%	No
CCNB2		1	1	239	0.4%	No
CCNE2		1	1	122	0.8%	No
CBFA2T2		5	5	1035	0.5%	No
ARHGEF1		14	14	1454	1.0%	No
CENPP		1	1	122	0.8%	No
AIFM1		13	11	825	1.3%	No
TEX101		3	3	609	0.5%	No
TOX2		5	5	936	0.5%	No
SCML4		4	4	1084	0.4%	No
FAM50A		3	3	249	1.2%	No
DISP1		15	14	1519	0.9%	No
FAM167A		4	4	936	0.4%	No
FRMD5		3	3	629	0.5%	No
SELENOO		2	2	455	0.4%	No
FAM107B		7	7	910	0.8%	No
LINC02872		2	2	629	0.3%	No
MFSD5		8	6	673	0.9%	No
CCDC3		3	3	564	0.5%	No
AICDA		1	1	216	0.5%	No
CLEC18C		2	2	370	0.5%	No
RAMAC		1	1	216	0.5%	No
ATG4D		6	6	753	0.8%	No
C1ORF94		6	6	1332	0.5%	No
ATP5MGL		1	1	122	0.8%	No
SMYD4		4	4	794	0.5%	No
HGS		5	5	845	0.6%	No
FHAD1		12	12	1364	0.9%	No
NEMF		2	2	507	0.4%	No
CENPS		1	1	239	0.4%	No
CCDC144NL		1	1	507	0.2%	No
NEURL1		2	2	338	0.6%	No
DYRK1B		3	3	564	0.5%	No
ALG1		6	6	1332	0.5%	No
ZBED9		12	11	1429	0.8%	No
RHPN1		2	2	455	0.4%	No
MRS2		4	4	1062	0.4%	No
LENG8		10	10	867	1.2%	No
PNMA5		7	7	1303	0.5%	No
RHOJ		2	2	338	0.6%	No
PDCD5		2	2	316	0.6%	No
PWWP2A		6	6	1035	0.6%	No
NME1-NME2		3	3	216	1.4%	No
SORCS1		17	17	1454	1.2%	No
FIBP		3	3	492	0.6%	No
